score	conf	op-conf	yield	precision	extr	enabler	attrib	sentence	dependencies	Arg1 Cleanup feature	Arg1 comes after arg2	Arg2 comes before Rel	Args both start and end with nouns	Extr has attribution?	Extr has enabledBy?	Hyp words near rel	If before arg1 and no enabledBy?	Noun-Verb-Noun in arg2	OpenParse Confidence	Prep in arg2?	Prep right after arg2?	Prep right before arg1?	Rel contains VBD	Rel contains VBG	Rel contains VBP	Rel ends with of	Rel head is a communication verb?	Rel starts with "be"?	Sentence starts with extr?	That before rel	Vacuous rel+arg2	Verb after arg2?
										-1.9474	-0.1342	-0.4772	0.1987	0.3096	0.6941	-0.4802	-2.1688	-0.4579	1.304	0.5695	-0.5616	-0.2119	0.6841	-0.4981	0.5545	-0.2275	-0.8676	-0.5553	0.3185	-0.2083	-1.8374	0.2496
1	0.9446846123114957	1.0	0	1.0	(M and N phenotypes; Rather are exhibited by; heterozygotes)[enabler=since both molecules are present]	true	false	Rather , both M and N phenotypes are exhibited by heterozygotes , since both molecules are present .	preconj(M_NNP_3_14, both_DT_2_9); cc(M_NNP_3_14, and_CC_4_16); conj(M_NNP_3_14, phenotypes_NNS_6_22); nn(phenotypes_NNS_6_22, N_NNP_5_20); advmod(exhibited_VBN_8_37, Rather_RB_0_0); punct(exhibited_VBN_8_37, ,_,_1_7); nsubjpass(exhibited_VBN_8_37, M_NNP_3_14); auxpass(exhibited_VBN_8_37, are_VBP_7_33); prep(exhibited_VBN_8_37, by_IN_9_47); punct(exhibited_VBN_8_37, ,_,_11_64); advcl(exhibited_VBN_8_37, present_JJ_16_91); punct(exhibited_VBN_8_37, ._._17_99); pobj(by_IN_9_47, heterozygotes_NNS_10_50); det(molecules_NNS_14_77, both_DT_13_72); mark(present_JJ_16_91, since_IN_12_66); nsubj(present_JJ_16_91, molecules_NNS_14_77); cop(present_JJ_16_91, are_VBP_15_87)	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
1	0.9378010670485936	1.0	2	1.0	(The companies; are followed by; at least three analysts)	false	false	The companies are followed by at least three analysts , and had a minimum five-cent change in actual earnings per share .	det(companies_NNS_1_4, The_DT_0_0); nsubjpass(followed_VBN_3_18, companies_NNS_1_4); auxpass(followed_VBN_3_18, are_VBP_2_14); prep(followed_VBN_3_18, by_IN_4_27); punct(followed_VBN_3_18, ,_,_9_54); cc(followed_VBN_3_18, and_CC_10_56); conj(followed_VBN_3_18, had_VBD_11_60); punct(followed_VBN_3_18, ._._21_120); pobj(by_IN_4_27, analysts_NNS_8_45); dep(at_IN_5_30, least_JJS_6_33); quantmod(three_CD_7_39, at_IN_5_30); num(analysts_NNS_8_45, three_CD_7_39); dobj(had_VBD_11_60, change_NN_15_84); det(change_NN_15_84, a_DT_12_64); amod(change_NN_15_84, minimum_JJ_13_66); amod(change_NN_15_84, five-cent_JJ_14_74); prep(change_NN_15_84, in_IN_16_91); pobj(in_IN_16_91, earnings_NNS_18_101); amod(earnings_NNS_18_101, actual_JJ_17_94); prep(earnings_NNS_18_101, per_IN_19_110); pobj(per_IN_19_110, share_NN_20_114)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
1	0.9339431602264946	1.0	3	1.0	(he; was called back from; the loan)[enabler=CSKA qualified for the round of 16 of the UEFA Cup 2008]	true	false	After CSKA qualified for the round of 16 of the UEFA Cup 2008 , he was called back from the loan and on 12 March 2009 was registered as a CSKA player .	pobj(After_IN_0_0, CSKA_NNP_1_6); prep(qualified_VBD_2_11, After_IN_0_0); prep(qualified_VBD_2_11, for_IN_3_21); pobj(for_IN_3_21, round_NN_5_29); det(round_NN_5_29, the_DT_4_25); prep(round_NN_5_29, of_IN_6_35); pobj(of_IN_6_35, 16_CD_7_38); prep(16_CD_7_38, of_IN_8_41); pobj(of_IN_8_41, Cup_NNP_11_53); det(Cup_NNP_11_53, the_DT_9_44); nn(Cup_NNP_11_53, UEFA_NNP_10_48); num(Cup_NNP_11_53, 2008_CD_12_57); advcl(called_VBN_16_71, qualified_VBD_2_11); punct(called_VBN_16_71, ,_,_13_62); nsubjpass(called_VBN_16_71, he_PRP_14_64); auxpass(called_VBN_16_71, was_VBD_15_67); advmod(called_VBN_16_71, back_RB_17_78); prep(called_VBN_16_71, from_IN_18_83); cc(called_VBN_16_71, and_CC_21_97); conj(called_VBN_16_71, registered_VBN_27_122); punct(called_VBN_16_71, ._._32_150); pobj(from_IN_18_83, loan_NN_20_92); det(loan_NN_20_92, the_DT_19_88); pobj(on_IN_22_101, March_NNP_24_107); num(March_NNP_24_107, 12_CD_23_104); num(March_NNP_24_107, 2009_CD_25_113); prep(registered_VBN_27_122, on_IN_22_101); auxpass(registered_VBN_27_122, was_VBD_26_118); prep(registered_VBN_27_122, as_IN_28_133); pobj(as_IN_28_133, player_NN_31_143); det(player_NN_31_143, a_DT_29_136); nn(player_NN_31_143, CSKA_NNP_30_138)	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1	0.9323012325715606	0.7345	4	1.0	(they; played locally throughout; the winter of 2004 and the spring of 2005)[enabler=As the band struggled to find support slots on upcoming tours without the help of a booking agent]	true	false	As the band struggled to find support slots on upcoming tours without the help of a booking agent , they played locally in Southern California throughout the winter of 2004 and the spring of 2005 .	det(band_NN_2_7, the_DT_1_3); mark(struggled_VBD_3_12, As_IN_0_0); nsubj(struggled_VBD_3_12, band_NN_2_7); xcomp(struggled_VBD_3_12, find_VB_5_25); prep(struggled_VBD_3_12, without_IN_11_62); aux(find_VB_5_25, to_TO_4_22); dobj(find_VB_5_25, slots_NNS_7_38); nn(slots_NNS_7_38, support_NN_6_30); prep(slots_NNS_7_38, on_IN_8_44); pobj(on_IN_8_44, tours_NNS_10_56); nn(tours_NNS_10_56, upcoming_NN_9_47); pobj(without_IN_11_62, help_NN_13_74); det(help_NN_13_74, the_DT_12_70); prep(help_NN_13_74, of_IN_14_79); pobj(of_IN_14_79, agent_NN_17_92); det(agent_NN_17_92, a_DT_15_82); nn(agent_NN_17_92, booking_NN_16_84); advcl(played_VBD_20_105, struggled_VBD_3_12); punct(played_VBD_20_105, ,_,_18_98); nsubj(played_VBD_20_105, they_PRP_19_100); advmod(played_VBD_20_105, locally_RB_21_112); prep(played_VBD_20_105, in_IN_22_120); prep(played_VBD_20_105, throughout_IN_25_143); punct(played_VBD_20_105, ._._35_196); pobj(in_IN_22_120, California_NNP_24_132); amod(California_NNP_24_132, Southern_JJ_23_123); pobj(throughout_IN_25_143, winter_NN_27_158); det(winter_NN_27_158, the_DT_26_154); prep(winter_NN_27_158, of_IN_28_165); cc(winter_NN_27_158, and_CC_30_173); conj(winter_NN_27_158, spring_NN_32_181); pobj(of_IN_28_165, 2004_CD_29_168); det(spring_NN_32_181, the_DT_31_177); prep(spring_NN_32_181, of_IN_33_188); pobj(of_IN_33_188, 2005_CD_34_191)	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.7345	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.9304226589378597	1.0	5	1.0	(A collection of her art; was displayed by; supporters campaigning to release her)	false	false	A collection of her art was displayed at an exhibition in Tehran by supporters campaigning to release her .	det(collection_NN_1_2, A_DT_0_0); prep(collection_NN_1_2, of_IN_2_13); pobj(of_IN_2_13, art_NN_4_20); poss(art_NN_4_20, her_PRP$_3_16); nsubjpass(displayed_VBN_6_28, collection_NN_1_2); auxpass(displayed_VBN_6_28, was_VBD_5_24); prep(displayed_VBN_6_28, at_IN_7_38); prep(displayed_VBN_6_28, by_IN_12_65); punct(displayed_VBN_6_28, ._._18_106); pobj(at_IN_7_38, exhibition_NN_9_44); det(exhibition_NN_9_44, an_DT_8_41); prep(exhibition_NN_9_44, in_IN_10_55); pobj(in_IN_10_55, Tehran_NNP_11_58); pobj(by_IN_12_65, supporters_NNS_13_68); partmod(supporters_NNS_13_68, campaigning_VBG_14_79); xcomp(campaigning_VBG_14_79, release_VB_16_94); aux(release_VB_16_94, to_TO_15_91); dobj(release_VB_16_94, her_PRP_17_102)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
1	0.9304226589378597	1.0	6	1.0	(Terry L. Haines; was elected to; the new position of vice president)	false	false	Terry L. Haines , formerly general manager of Canadian operations , was elected to the new position of vice president , North American sales , of this plastics concern .	nn(Haines_NNP_2_9, Terry_NNP_0_0); nn(Haines_NNP_2_9, L._NNP_1_6); punct(Haines_NNP_2_9, ,_,_3_16); appos(Haines_NNP_2_9, manager_NN_6_35); punct(Haines_NNP_2_9, ,_,_10_66); advmod(manager_NN_6_35, formerly_RB_4_18); amod(manager_NN_6_35, general_JJ_5_27); prep(manager_NN_6_35, of_IN_7_43); pobj(of_IN_7_43, operations_NNS_9_55); amod(operations_NNS_9_55, Canadian_JJ_8_46); nsubjpass(elected_VBN_12_72, Haines_NNP_2_9); auxpass(elected_VBN_12_72, was_VBD_11_68); prep(elected_VBN_12_72, to_TO_13_80); punct(elected_VBN_12_72, ,_,_20_118); punct(elected_VBN_12_72, ._._29_168); pobj(to_TO_13_80, position_NN_16_91); det(position_NN_16_91, the_DT_14_83); amod(position_NN_16_91, new_JJ_15_87); prep(position_NN_16_91, of_IN_17_100); pobj(of_IN_17_100, president_NN_19_108); nn(president_NN_19_108, vice_NN_18_103); dobj(,_,_20_118, sales_NNS_23_135); nn(sales_NNS_23_135, North_NNP_21_120); nn(sales_NNS_23_135, American_NNP_22_126); punct(sales_NNS_23_135, ,_,_24_141); prep(sales_NNS_23_135, of_IN_25_143); pobj(of_IN_25_143, concern_NN_28_160); det(concern_NN_28_160, this_DT_26_146); nn(concern_NN_28_160, plastics_NNS_27_151)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
1	0.9258278797037348	1.0	7	1.0	(he; was involved in; the building of the 145 m long)	false	false	During his time as a student in Berlin , he was involved in the building of the 145 m long " Tunnel 57 " below the Berlin Wall , which was the escape route of 57 people from East Berlin to the West .	pobj(During_IN_0_0, time_NN_2_11); dep(During_IN_0_0, as_IN_3_16); poss(time_NN_2_11, his_PRP$_1_7); pobj(as_IN_3_16, student_NN_5_21); det(student_NN_5_21, a_DT_4_19); prep(student_NN_5_21, in_IN_6_29); pobj(in_IN_6_29, Berlin_NNP_7_32); prep(involved_VBN_11_48, During_IN_0_0); punct(involved_VBN_11_48, ,_,_8_39); nsubjpass(involved_VBN_11_48, he_PRP_9_41); auxpass(involved_VBN_11_48, was_VBD_10_44); prep(involved_VBN_11_48, in_IN_12_57); punct(involved_VBN_11_48, ._._43_198); pobj(in_IN_12_57, building_NN_14_64); det(building_NN_14_64, the_DT_13_60); prep(building_NN_14_64, of_IN_15_73); pobj(of_IN_15_73, m_NN_18_84); det(m_NN_18_84, the_DT_16_76); num(m_NN_18_84, 145_CD_17_80); amod(m_NN_18_84, long_JJ_19_86); dep(long_JJ_19_86, "_``_23_103); num(Tunnel_NNP_21_93, 57_CD_22_100); punct("_``_23_103, "_``_20_91); nsubj("_``_23_103, Tunnel_NNP_21_93); prep("_``_23_103, below_IN_24_105); pobj(below_IN_24_105, Wall_NNP_27_122); det(Wall_NNP_27_122, the_DT_25_111); nn(Wall_NNP_27_122, Berlin_NNP_26_115); punct(Wall_NNP_27_122, ,_,_28_127); rcmod(Wall_NNP_27_122, route_NN_33_150); nsubj(route_NN_33_150, which_WDT_29_129); cop(route_NN_33_150, was_VBD_30_135); det(route_NN_33_150, the_DT_31_139); nn(route_NN_33_150, escape_NN_32_143); prep(route_NN_33_150, of_IN_34_156); prep(route_NN_33_150, from_IN_37_169); prep(route_NN_33_150, to_TO_40_186); pobj(of_IN_34_156, people_NNS_36_162); num(people_NNS_36_162, 57_CD_35_159); pobj(from_IN_37_169, Berlin_NNP_39_179); nn(Berlin_NNP_39_179, East_NNP_38_174); pobj(to_TO_40_186, West_NNP_42_193); det(West_NNP_42_193, the_DT_41_189)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1	0.92215545568493	1.0	8	1.0	(The Dynix corporation; was founded in; 1983)	false	false	The Dynix corporation was founded in 1983 , and SirsiDynix was formed by the merger of the Sirsi and Dynix corporations in June 2005 .	det(corporation_NN_2_10, The_DT_0_0); nn(corporation_NN_2_10, Dynix_NNP_1_4); nsubjpass(founded_VBN_4_26, corporation_NN_2_10); auxpass(founded_VBN_4_26, was_VBD_3_22); prep(founded_VBN_4_26, in_IN_5_34); punct(founded_VBN_4_26, ,_,_7_42); cc(founded_VBN_4_26, and_CC_8_44); conj(founded_VBN_4_26, formed_VBN_11_63); punct(founded_VBN_4_26, ._._24_133); pobj(in_IN_5_34, 1983_CD_6_37); nsubjpass(formed_VBN_11_63, SirsiDynix_NNP_9_48); auxpass(formed_VBN_11_63, was_VBD_10_59); prep(formed_VBN_11_63, by_IN_12_70); prep(formed_VBN_11_63, in_IN_21_120); pobj(by_IN_12_70, merger_NN_14_77); det(merger_NN_14_77, the_DT_13_73); prep(merger_NN_14_77, of_IN_15_84); pobj(of_IN_15_84, corporations_NNS_20_107); cc(Sirsi_NNP_17_91, and_CC_18_97); conj(Sirsi_NNP_17_91, Dynix_NNP_19_101); det(corporations_NNS_20_107, the_DT_16_87); nn(corporations_NNS_20_107, Sirsi_NNP_17_91); pobj(in_IN_21_120, June_NNP_22_123); num(June_NNP_22_123, 2005_CD_23_128)	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
1	0.92215545568493	1.0	9	1.0	(The song; was recorded in; 2003)	false	false	The song was recorded in 2003 , and was supposed to be included on her third album " Still " , eventually released under the title " More " .	det(song_NN_1_4, The_DT_0_0); nsubjpass(recorded_VBN_3_13, song_NN_1_4); auxpass(recorded_VBN_3_13, was_VBD_2_9); prep(recorded_VBN_3_13, in_IN_4_22); punct(recorded_VBN_3_13, ,_,_6_30); cc(recorded_VBN_3_13, and_CC_7_32); conj(recorded_VBN_3_13, supposed_VBN_9_40); punct(recorded_VBN_3_13, ._._29_140); pobj(in_IN_4_22, 2003_CD_5_25); auxpass(supposed_VBN_9_40, was_VBD_8_36); xcomp(supposed_VBN_9_40, included_VBN_12_55); punct(supposed_VBN_9_40, ,_,_20_93); dep(supposed_VBN_9_40, released_VBN_22_106); aux(included_VBN_12_55, to_TO_10_49); auxpass(included_VBN_12_55, be_VB_11_52); prep(included_VBN_12_55, on_IN_13_64); pobj(on_IN_13_64, album_NN_16_77); poss(album_NN_16_77, her_PRP$_14_67); amod(album_NN_16_77, third_JJ_15_71); punct(album_NN_16_77, "_''_17_83); advmod(album_NN_16_77, Still_RB_18_85); punct(album_NN_16_77, "_''_19_91); advmod(released_VBN_22_106, eventually_RB_21_95); prep(released_VBN_22_106, under_IN_23_115); pobj(under_IN_23_115, title_NN_25_125); det(title_NN_25_125, the_DT_24_121); dep(title_NN_25_125, More_JJR_27_133); punct(More_JJR_27_133, "_``_26_131); punct(More_JJR_27_133, "_''_28_138)	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
